"analisis","obra","relacion","fuente","carpeta","en_repo","motivo"
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Chumley y Harkness - Introduction. Qualia (2013) [Anthropological Theory 13(1-2), pp. 3-11].md","Teoría","sí","Marco de los qualia para el verde hospital y la sal como cualidades sensibles con carga (rf-infra)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Gal - Tastes of Talk. Qualia and the Moral Flavor of Signs (2013) [Anthropological Theory 13(1-2), pp. 31-48].md","Teoría","sí","Sabor moral de los signos: la sal «salada»/malhadada y el verde clínico como qualia cargados (rf-infra)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Richard - La insubordinación de los signos. Cambio político, transformaciones culturales y poéticas de la crisis [Cuarto Propio, Santiago, ISBN 9789562600576].md","Teoría","sí","Poéticas de la crisis y política de los signos; marco latinoamericano afín al eje crisis/nación."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Richard - Fracturas de la memoria. Arte y pensamiento crítico (2007) [col. Arte y pensamiento dir. Andrea Giunta, Buenos Aires, ISBN 9789871220786].md","Teoría","sí","Arte, memoria y violencia política; dialoga con la lectura del duelo y la nación agónica."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Foster - Bad New Days. Art, Criticism, Emergency.md","Teoría","sí","Arte crítico y emergencia; marco para el aparato clínico/averiado y la criticidad en disputa."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Sedgwick - Paranoid Reading and Reparative Reading, or, You're So Paranoid, You Probably Think This Essay Is About You [Touching Feeling, cap. 4].md","Teoría","sí","Funda el «stance reparativo» con que se tratan los críticos como objetos y no autoridades (d-objetos)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Nöth - Visual Semiotics. Key Features and an Application to Picture Ads (2011) [The SAGE Handbook of Visual Research Methods, cap. 16].md","Teoría","sí","Semiótica visual aplicada; método para el análisis de la imagen/diagrama de la bandera."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Buntinx - Lava la bandera. The Colectivo Sociedad Civil and the Cultural Overthrow of the Fujimori-Montesinos Dictatorship (2017) [Collective Situations, cap. 1].md","Cap 2 - Historia","sí","Bandera y derrocamiento del fujimorato; tema nación/bandera y política del emblema patrio."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","MALI/Buntinx - El poder y la ilusión. Pérdida y restauración del aura en la «República de Weimar peruana» 1980-1992 [MALI].md","Cap 2 - Historia","sí","Funda el aparato de Buntinx (la «República de Weimar peruana», el aura, lo unheimlich) que la recepción retoma."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Hernández Calvo y Villacorta - Franquicias imaginarias. Las opciones estéticas en las artes plásticas en el Perú de fin de siglo (2002) [OCR A].md","Cap 2 - Historia","sí","Opciones estéticas peruanas de fin de siglo; contexto del campo hacia el 2000."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Mitrovic - Extravíos de la forma. Vanguardia, modernismo popular y arte contemporáneo en Lima desde los 60 (2019).md","Cap 2 - Historia","sí","Historia del campo del arte limeño; apoya el perfil y la posición de Tokeshi (d-bourdieu)."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","Villacorta y Del Valle - Incertidumbre y certezas en el arte peruano reciente. Imaginarios de Lima en transformación 1980-2006 [Post-Ilusiones].txt","Cap 2 - Historia","sí","Imaginarios de Lima 1980-2006; contexto atmosférico del momento de la obra."
"3.2 · Tokeshi — Bandera VIII","Bandera VIII (Eduardo Tokeshi)","sugerida","El Pabellón ha caído - Buntinx.md","Cap 2 - Historia","sí","Buntinx sobre el símbolo patrio/bandera; posible apoyo al tema del emblema nacional en crisis."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Recuerdo (1998), performance y video [OBRA]","externa","no","La obra analizada; performance de 1998 y su registro en video. Objeto central de todo el capítulo."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Entrevista - Tejada-Herrera, Elena - 2026-04-16.transcripcion.md [ETH26]","Fuentes ETH","sí","Fuente primaria; perfil, formación, teoría del medio, la culpa/belleza y el relato tardío que desdramatiza el secreto (rf-secreto, rf-cortita, d-testimonio)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Video - Elena Tejada-Herrera. Episodio 16 de un pódcast [transcripción] [APA16]","Fuentes ETH","sí","Testimonio de 2025 (Artistas por Artistas); «la denuncia no es suficiente», culpa ecológica, segundo origen de la belleza como arma (rf-denuncia, rf-culpa, d-belleza)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Video - Bios de artista... por qué su performance no es actuación [transcripción] [BIOS09]","Fuentes ETH","sí","Testimonio más temprano (2009); «no es actuación», Recuerdo «no era cuestión de género», impugnación de la crítica (rf-tergiversa, rf-secreto)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Tejada-Herrera (Portocarrero ed.) - Videos de esta mujer... (2018) [Proyecto AMIL] [PORT]","Fuentes ETH","sí","Ensayo curatorial de Portocarrero: primera panorámica, linaje Paréntesis/E.P.S. Huayco, tesis de la marginalidad (rf-marginalidad, rf-genealogias)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Andrade Tudela - Estrella sin origen (en Videos de esta mujer) [AAT]","Fuentes ETH","sí","Recepción más extensa; Bataille/heterología, la bolsa como fardo, tránsito a lo animista y el mandato al centro (rf-mandato-at, nx-suturas, d-fardo)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Dossier de textos / libreto (en Videos de esta mujer, p. 92) [DOSS18]","Fuentes ETH","sí","El libreto de la artista: bolsa de morgue, escarapelas-recorrido, APRODEH, «él tenía las llaves», la razón de la AM (rf-libreto, rf-bolsa, rf-escarapela, rf-forense, rf-radio)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Vilela Torres - La posibilidad política del cuerpo... [tesis PUCP, 2019] [VIL19]","Fuentes ETH","sí","Recepción académica; estética de lo abyecto, única que sostiene las dos escarapelas, trae el contraste con Villanes (rf-bolsa, rf-escarapela, rf-villanes, rf-vilela)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Villanes, E. - Gloria evaporada (1994-1995) [VILLANES]","externa","no","Precedente contrastivo sobre el mismo hecho (cajas de leche Gloria de La Cantuta); él simboliza, ella permanece en el índice (rf-villanes)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Arias Rojas, T. - El arte de la performance... Tejada-Herrera [tesis UNMSM, 2009] [ARIAS09]","externa","no","Primera tesis sobre la artista según Vilela; citada pero SIN LOCALIZAR (nota falta g-arias)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Hernández Calvo y Villacorta - Franquicias imaginarias (2002) [FRANQ02]","Cap 2 - Historia","sí","Estudio de referencia sobre la escena limeña de fin de siglo citado por Vilela; disponible en el corpus de Historia (OCR A/B)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Germaná, G. - Yo no solo coso... (2014) [GERM14]","externa","no","Citado por Vilela dentro de la escasa bibliografía sobre arte hecho por mujeres en el Perú."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Raffo - Intervenciones en el espacio público... Recuerdo, Crisis y Lava la bandera [LEIGH06]","Fuentes ETH","sí","La lectura más temprana (2006); da el argumento indexical (anonimato/no-anonimato, los muertos como individuos) veinte años antes (rf-leigh, nx-estabilizan, rf-forense)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Tejada-Herrera - Portafolio con fichas de performances y videos, 1994-2020 [FRIEZE19]","Fuentes ETH","sí","El mercado como régimen de lectura; «Edition of 5 + 2 AP», ficha que traduce a Portocarrero y borra la ocupación militar (rf-mercado, rf-marginalidad)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Tejada-Herrera - Curriculum vitae extendido... [en inglés] [CV-LB]","Fuentes ETH","sí","Fuente de exposiciones, premios y de la bibliografía sobre Elena; base para c-fechas, rf-sanmarcos, rf-accionismo, c-mincul."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Tejada-Herrera - Statement publicado en su web hotglue.me [en inglés] [STAT]","Fuentes ETH","sí","Autodescripción actual «non-binarie / trans-feminist»; base de la decisión de nombramiento (d-nombrar)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Villacorta y Del Valle - ...[Post-Ilusiones] (2007) [POST-IL]","Cap 2 - Historia","sí","«Arte crítico en Lima 1980-2006», con Elena dentro; disponible en el corpus de Historia (cotejar autoría y ficha)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Buntinx, G. - Lava la bandera... Quehacer 158 (2006) [QUEH06]","externa","no","Referencia recuperada del catálogo de López; fundación del Colectivo Sociedad Civil. No está en el repo."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Buntinx, G. - Emergencia artística: arte crítico 1998-1999 (1999) [BUN99]","externa","no","Catálogo de la muestra donde se exhibió el video por primera vez; EXISTE Y NO SE TIENE (nota falta / worknotes)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Web - Emergencia (1999)... Pieza del mes de Micromuseo con texto de Buntinx [BUN-EM]","Fuentes ETH","sí","Retrospección de Buntinx sobre «Emergencia artística»; confirma que NO escribe sobre Recuerdo (rf-buntinx99)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","López, M. A. (ed.) - Hay algo incomestible en la garganta... (2021) [catálogo ICPNA] [LOPEZ21]","Cap 2 - Historia","sí","La operación de canonización; recorte 1988-2002, poéticas antipatriarcales, genealogía alternativa de Elena (rf-genealogias, g-lopez, d-nombrar)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Conversatorio - Hay algo incomestible en la garganta - 2021-10-13 [CONV21]","Cap 2 - Historia","sí","Tercer testimonio de Elena, el más dramatizado (ejército «con ametralladoras»); declara el doble sentido de la escarapela (rf-secreto, rf-escarapela, c-lapsus)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Radulescu - Personajes y escenarios en las performances de Elena Tejada (2017) [RAD17]","Fuentes ETH","sí","Recepción; teatralización con Bourriaud, la artista «se convierte en actriz»; la anfitriona de 1998 que borra su mano (rf-borrado, rf-tergiversa, rf-escarapela)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Ramos Chang, M. A. - Trayectoria... Escuela de Arte [tesis UNMSM, 2007] [RAMOS07]","externa","no","Fuente del tríptico de la Semana de Arte de 1998 (anexo 3), documento primario clave que ninguna lectura leyó (c-fecha, rf-programa, rf-vilela)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Wiener, G. - [Entrevista a Elena Tejada-Herrera], La Mula (2016) [WIEN16]","externa","no","Citada por Radulescu; «arte pero también activismo, sin ser panfletario». Faltan título, fecha y URL."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Vallejo, C. - Himno a los voluntarios de la República (1939) [VALL]","externa","no","El verso que Elena atribuye a Mariátegui y altera («acto o voz» por «arte»); desplazamiento fundante (c-vallejo)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Tarazona, E. - Accionismo en el Perú (1965-2000) [ICPNA, 2006] [TARA06]","externa","no","Genealogía local del accionismo en que Elena ya figuraba; desactiva el «vacío referencial» (rf-accionismo)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Lerner y Villacorta - Fragmented Corpus... (2008) [LERN08]","externa","no","Recepción previa citada por Portocarrero; Lerner y Villacorta reaparecen en la recepción de Elena."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Jones, A. - Body Art / Performing the Subject [JONES]","externa","no","Movilizada por Portocarrero (modo «intersubjetivo»); referencia incompleta por fijar."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Ball - On Dicentization (2014) [BALL14]","Teoría","sí","Dicentización (ícono a índice) como contraste; en Recuerdo la sutura corre a la inversa (nx-suturas)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Gal - [rematización] [GAL05]","externa","no","Rematización (índice a ícono): el paso del cuerpo al bulto por el montaje. El texto exacto no está en el repo; Teoría tiene otro Gal (Tastes of Talk)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Nakassis - A Linguistic Anthropology of Images (2023) [NAK23]","Teoría","sí","Los tres ejes como abducciones del intérprete y la calibración del índice (nx-affordance, rf-abduccion)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Stjernfelt - Diagrammatology (2007) [STJ07]","Teoría","sí","En reserva; el diagrama (escarapela como itinerario/relaciones entre partes) entra si el material lo pide (rf-escarapela)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Larkin - The Politics and Poetics of Infrastructure (2013) [LARK13]","Teoría","sí","La infraestructura que aloja la pieza: el patio, el programa impreso, la radio (nx-atmosferico, d-par)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Keane - On Semiotic Ideology (2018) [KEAN18]","Teoría","sí","Affordances como salvaguarda materialista: la bolsa habilita sin determinar los dos índices (nx-affordance)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Koselleck - Critique and Crisis (1988) [KOS88]","externa","no","La crisis como operador narrativo, junto con Fassin (nx-crisis). No está en el repo."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Peirce - The Essential Peirce, vol. 2 [EP2]","externa","no","Abducción y economía de la investigación; el criterio para fijar el centro de gravedad (rf-abduccion, d-centro)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Comisión de la Verdad y Reconciliación - Informe final (2003) [CVR03]","externa","no","La Cantuta: secuestro, restos hallados en Cieneguilla, identificación por las llaves de la vivienda universitaria (rf-forense, rf-compresion)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Recuerdo [videoperformance, hoja de contactos, 2026] [VID]","externa","no","El registro mismo como fuente: cartelas en inglés y español, «Accionismo» en 00:53, escarapela verificada, cierre con copyright 1998 (rf-cartela, rf-ingles, rf-escarapela)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","utilizada","Web - Recuerdo (1998)... Ficha de Micromuseo... San Marcos [MM-REC]","Fuentes ETH","sí","Procedencia (Colección MICROMUSEO), sinopsis firmada por la artista, crédito de cámara a Corvetto y la primera exhibición en «Emergencia artística» 1999 (rf-proc, c-camara, rf-secreto)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","sugerida","Captura de pantalla sin identificar 1 - 2026-07-14 [PNG]","Fuentes ETH","sí","Posible reproducción visual (tríptico, hoja de contactos o escarapela) para cotejar c-fecha, rf-programa y rf-cartela; conviene identificarla."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","sugerida","Captura de pantalla sin identificar 2 - 2026-07-14 [PNG]","Fuentes ETH","sí","Idem; material gráfico sin identificar que puede fijar datos primarios de la acción (c-camara, rf-escarapela)."
"3.3 · Tejada — Recuerdo","Recuerdo (Elena Tejada-Herrera)","sugerida","Tejada-Herrera - Curriculum vitae publicado en su web hotglue.me [en inglés]","Fuentes ETH","sí","Segunda versión del CV (la propia, no la de galería) para cruzar fechas y autodescripción de género (c-fechas, d-nombrar, c-mincul)."
